message,severity,node,stamp,location
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.48975,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.48824,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.48511,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.47348,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.4717,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.4697,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.45819,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.45533,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.4533,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.44193,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.43992,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.4379,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.42562,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.42353,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.42151,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.4102,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.40714,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.40513,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.39396,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.36227,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.34595,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.29341,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.28143,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.27915,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.27705,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.26621,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.26376,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.2617,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.24992,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.21563,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.21364,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.20186,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.14915,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.13809,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.13559,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.13381,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.12172,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.1193,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.06935,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.05811,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.05574,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.05299,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.04192,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.03942,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.03761,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.02566,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224100.02407,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224100.02124,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224100.0103,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.99389,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.99123,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.98938,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.97746,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.97585,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.97357,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.96201,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.95945,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.95718,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.94558,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.94407,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.94177,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.93016,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.92765,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.92536,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.91377,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.91118,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.90895,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.89743,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.89573,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.89359,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.88209,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.8793,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.87723,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.86558,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.86374,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.86184,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.85027,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.84734,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.84547,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.83389,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.83201,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.82907,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.81756,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.81561,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.81368,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.80226,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.79917,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.77008,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.63751,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.62644,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.62356,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.62104,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.61005,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.60722,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.60564,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.59364,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.59181,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.58921,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.57827,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.57531,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.57382,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.56198,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.55998,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.55743,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.54555,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.54359,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.54101,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.53027,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.52715,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.52565,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.514,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.51175,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.5093,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.49771,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.4953,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.49298,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.48142,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.46132,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.41788,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.41526,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.38611,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.34973,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.33537,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.33335,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.32182,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.32,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.31699,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_02.sim,1726224099.3064,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.395558, y=-0.614868])",30,_4EPEnAXA_01.sim,1726224099.30353,./src/turtle.cpp:update:260
"Oh no! I hit the wall! (Clamping from [x=-0.121367, y=-0.720970])",30,_4EPEnAXA_03.sim,1726224099.30162,./src/turtle.cpp:update:260
